epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1096.34,1.29605,0.97851,1.38551,0.78633,0.75233,0.83569,0.58641,1.02054,0.81005,1.19975,0.0003565,0.0003565,0.0003565
67,1112.98,1.29172,0.97751,1.37596,0.80302,0.73074,0.83296,0.57254,1.06507,0.84641,1.20305,0.0003466,0.0003466,0.0003466
68,1129.6,1.27786,0.95849,1.3629,0.78519,0.75452,0.837,0.59126,1.00267,0.80183,1.17769,0.0003367,0.0003367,0.0003367
69,1146.15,1.2642,0.96154,1.37031,0.77484,0.75753,0.83242,0.57364,1.06282,0.82126,1.19795,0.0003268,0.0003268,0.0003268
70,1162.65,1.2889,0.986,1.38798,0.80056,0.73536,0.83666,0.57456,1.08838,0.82182,1.20368,0.0003169,0.0003169,0.0003169
71,1179.24,1.26415,0.96266,1.36708,0.77059,0.7575,0.83025,0.5751,1.0587,0.86438,1.19899,0.000307,0.000307,0.000307
72,1195.84,1.24932,0.94578,1.35085,0.77922,0.75534,0.83321,0.57343,1.08537,0.82708,1.20698,0.0002971,0.0002971,0.0002971
73,1212.37,1.22711,0.91527,1.33489,0.78837,0.75479,0.839,0.57745,1.06616,0.81033,1.19547,0.0002872,0.0002872,0.0002872
74,1228.88,1.22938,0.93022,1.3399,0.78071,0.75369,0.83613,0.5679,1.11381,0.8151,1.21111,0.0002773,0.0002773,0.0002773
75,1245.51,1.26035,0.95289,1.35936,0.78182,0.75117,0.83452,0.58196,1.04704,0.81414,1.18928,0.0002674,0.0002674,0.0002674
76,1262,1.24154,0.93873,1.3549,0.79127,0.75114,0.83557,0.59055,1.01432,0.80733,1.17521,0.0002575,0.0002575,0.0002575
77,1279.79,1.23522,0.94134,1.34929,0.78925,0.74614,0.83371,0.58168,1.03871,0.80547,1.18839,0.0002476,0.0002476,0.0002476
78,1296.23,1.23807,0.92977,1.33808,0.806,0.73892,0.84061,0.58683,1.01983,0.79325,1.18302,0.0002377,0.0002377,0.0002377
79,1312.68,1.21227,0.91354,1.32324,0.78589,0.76218,0.83883,0.57812,1.06657,0.79944,1.19438,0.0002278,0.0002278,0.0002278
80,1329.2,1.24711,0.93844,1.34944,0.77801,0.76875,0.84146,0.58673,1.02536,0.79359,1.18789,0.0002179,0.0002179,0.0002179
81,1345.73,1.22385,0.92763,1.33383,0.79605,0.76136,0.83985,0.59457,1.01403,0.79102,1.1787,0.000208,0.000208,0.000208
82,1362.4,1.2226,0.92108,1.33449,0.78618,0.75835,0.83371,0.5662,1.11085,0.80853,1.21162,0.0001981,0.0001981,0.0001981
83,1378.99,1.21916,0.92394,1.33959,0.79552,0.75233,0.83941,0.58566,1.03901,0.79498,1.18971,0.0001882,0.0001882,0.0001882
84,1395.47,1.21952,0.93538,1.35046,0.78899,0.75452,0.83481,0.58502,1.02601,0.80364,1.1879,0.0001783,0.0001783,0.0001783
85,1411.87,1.19475,0.90066,1.31542,0.80518,0.74877,0.8399,0.59199,1.01679,0.78827,1.1804,0.0001684,0.0001684,0.0001684
86,1428.41,1.07572,0.77404,1.23209,0.79011,0.73782,0.83347,0.58315,1.0442,0.79703,1.19438,0.0001585,0.0001585,0.0001585
87,1444.45,1.07975,0.75798,1.24359,0.7832,0.75532,0.84076,0.59036,1.024,0.79162,1.17847,0.0001486,0.0001486,0.0001486
88,1460.41,1.05157,0.73428,1.2071,0.79311,0.74907,0.84075,0.57492,1.09235,0.79637,1.19169,0.0001387,0.0001387,0.0001387
89,1476.37,1.05701,0.73833,1.23084,0.79209,0.75014,0.83868,0.58111,1.05928,0.78705,1.19217,0.0001288,0.0001288,0.0001288
90,1492.32,1.06625,0.73083,1.23006,0.79401,0.74986,0.8389,0.59481,1.01961,0.7865,1.17962,0.0001189,0.0001189,0.0001189
91,1508.37,1.0552,0.72906,1.22486,0.80657,0.73919,0.83881,0.58574,1.0465,0.7852,1.18567,0.000109,0.000109,0.000109
92,1524.26,1.04703,0.72615,1.22503,0.7919,0.7578,0.83975,0.59221,1.03294,0.78297,1.18217,9.91e-05,9.91e-05,9.91e-05
93,1540.19,1.03668,0.71302,1.21743,0.79054,0.76327,0.84274,0.5994,1.01323,0.78265,1.17766,8.92e-05,8.92e-05,8.92e-05
94,1556.22,1.03535,0.7128,1.21591,0.78282,0.77238,0.84394,0.58341,1.06407,0.77792,1.19125,7.93e-05,7.93e-05,7.93e-05
95,1572.18,1.03462,0.70554,1.21068,0.7961,0.75972,0.84387,0.59447,1.02606,0.7771,1.17607,6.94e-05,6.94e-05,6.94e-05
96,1588.15,1.04206,0.71071,1.2192,0.79364,0.76163,0.84207,0.59854,1.00667,0.77321,1.17414,5.95e-05,5.95e-05,5.95e-05
97,1604.03,1.02365,0.70181,1.21755,0.79429,0.75447,0.84127,0.60181,0.98538,0.76956,1.1663,4.96e-05,4.96e-05,4.96e-05
98,1619.95,1.03141,0.70836,1.20951,0.80342,0.75151,0.84241,0.60236,0.9927,0.76574,1.16781,3.97e-05,3.97e-05,3.97e-05
99,1635.85,1.0107,0.69797,1.19561,0.80365,0.75452,0.84358,0.60641,0.97875,0.76598,1.16395,2.98e-05,2.98e-05,2.98e-05
100,1651.81,1.01879,0.7013,1.20889,0.80281,0.75452,0.84396,0.60043,1.00618,0.76664,1.16999,1.99e-05,1.99e-05,1.99e-05
